Country Code ISO3,Country,Goal 11 Score,Goal 11 Dash,Proportion of urban population living in slums (%),Annual mean concentration of particulate matter of less than 2.5 microns in diam,"Access to improved water source, piped (% of urban population)",Satisfaction with public transport (%),Population with rent overburden (%)
NOR,Norway,94.00575,yellow,0.0,6.523000000000001,100.0,68.0,7.73
NPL,Nepal,44.8775,red,49.300000000000004,95.718,52.93,73.0,
NRU,Nauru,,orange,,11.844,52.82,,
NZL,New Zealand,89.2045,yellow,0.0,5.625,100.0,56.0,
OMN,Oman,77.79533333333333,orange,,45.131,97.266,73.0,
PAK,Pakistan,51.31125,red,38.0,57.749,44.989000000000004,64.0,
PAN,Panama,84.887,orange,21.3,10.506,98.706,64.0,
PER,Peru,72.457,orange,33.1,23.296,94.456,54.0,
PHL,Philippines,71.34575,orange,44.300000000000004,16.887,82.315,62.0,
PLW,Palau,,yellow,,11.453,94.273,,
PNG,Papua New Guinea,71.8105,orange,,11.045,52.581,,
POL,Poland,85.7705,orange,0.0,19.728,96.628,60.0,7.022
PRK,"Korea, Dem. Rep.",,red,,29.771,73.611,,
PRT,Portugal,89.6395,yellow,0.0,7.516,100.0,58.0,5.704
PRY,Paraguay,75.68666666666667,orange,,10.664,100.0,41.0,
QAT,Qatar,35.7145,orange,,93.84400000000001,,65.0,
ROU,Romania,80.8645,yellow,14.4,14.171000000000001,89.808,58.0,
RUS,Russian Federation,85.52033333333334,yellow,,15.611,96.873,65.0,
RWA,Rwanda,55.6955,red,44.1,42.295,75.752,47.0,
SAU,Saudi Arabia,47.8895,orange,,88.34,,80.0,
SDN,Sudan,30.280250000000002,red,93.7,58.668,68.574,33.0,
SEN,Senegal,64.05575,red,28.400000000000002,41.574,85.362,50.0,
SGP,Singapore,94.73700000000001,yellow,,19.042,100.0,93.0,
SLB,Solomon Islands,,orange,,11.158,70.495,,
SLE,Sierra Leone,35.890499999999996,red,59.6,22.875,33.049,22.0,
SLV,El Salvador,82.93950000000001,orange,19.8,22.86,95.054,70.0,
SMR,San Marino,,grey,,13.322000000000001,,,
SOM,Somalia,56.618750000000006,red,73.60000000000001,32.873,76.171,62.0,
SRB,Serbia,81.351,orange,3.6,23.844,97.721,54.0,
SSD,South Sudan,13.82625,red,97.3,46.141,10.489,18.0,
STP,Sao Tome and Principe,58.538000000000004,red,86.60000000000001,29.028000000000002,100.0,,
SUR,Suriname,86.21775000000001,orange,5.5,23.592,88.726,73.0,
SVK,Slovak Republic,85.175,orange,0.0,16.865000000000002,97.159,56.0,3.351
SVN,Slovenia,84.02333333333333,yellow,0.0,15.372,,60.0,3.391
SWE,Sweden,92.0125,yellow,0.0,5.954,89.206,70.0,9.506
SWZ,Eswatini,78.2935,orange,32.7,16.724,93.069,64.0,
SYC,Seychelles,,grey,,19.818,,,
SYR,Syrian Arab Republic,50.974999999999994,red,13.8,46.156,70.535,15.0,
TCD,Chad,26.674500000000002,red,86.60000000000001,69.608,52.018,41.0,
TGO,Togo,37.17825,red,53.300000000000004,41.082,41.827,29.0,
THA,Thailand,77.18650000000001,orange,24.5,24.192,90.57000000000001,63.0,
TJK,Tajikistan,76.6405,orange,23.6,44.569,89.949,77.0,
TKM,Turkmenistan,80.08566666666667,orange,,19.916,77.426,71.0,
TLS,Timor-Leste,,orange,30.1,18.526,81.648,,
TON,Tonga,,yellow,,10.117,99.75,,
TTO,Trinidad and Tobago,78.04366666666665,orange,1.9000000000000001,22.905,,56.0,
TUN,Tunisia,68.9545,red,8.0,40.26,99.241,38.0,
TUR,Turkey,73.11875,orange,7.0,45.212,98.259,52.0,
TUV,Tuvalu,,yellow,,10.251,100.0,,
TZA,Tanzania,62.01775000000001,red,40.2,28.512,59.576,60.0,
UGA,Uganda,48.392,red,46.0,52.493,53.023,53.0,
UKR,Ukraine,75.49125,orange,18.0,19.012,79.015,58.0,
URY,Uruguay,91.12900000000002,yellow,,8.65,100.0,68.0,
USA,United States,90.56375,yellow,0.0,6.809,99.60000000000001,60.0,11.007
UZB,Uzbekistan,74.194,red,58.5,26.904,88.08200000000001,84.0,
VCT,St. Vincent and the Grenadines,,grey,,21.083000000000002,,,
VEN,"Venezuela, RB",49.571333333333335,red,35.800000000000004,15.587,,19.0,
VNM,Vietnam,78.92675,orange,13.5,27.896,85.367,66.0,
VUT,Vanuatu,,yellow,,11.107000000000001,78.31700000000001,,
WSM,Samoa,,yellow,,10.829,86.83800000000001,,
YEM,"Yemen, Rep.",45.6165,red,56.0,51.855000000000004,76.679,37.0,
ZAF,South Africa,79.86225,orange,26.400000000000002,24.313,98.17,66.0,
ZMB,Zambia,50.3095,red,63.300000000000004,26.289,66.077,41.0,
ZWE,Zimbabwe,59.1255,red,29.0,21.333000000000002,66.783,35.0,
_E_S_Asia,East and South Asia,63.2315,red,35.449,59.498000000000005,72.999,74.586,
_E_Euro_Asia,Eastern Europe and Central Asia,72.7535,orange,35.545,22.561,87.563,60.364000000000004,
_LAC,Latin America and the Caribbean,75.99275,orange,22.331,14.41,94.999,48.202,
_MENA,Middle East and North Africa,61.24866666666667,orange,,58.614000000000004,91.32300000000001,56.612,
_Oceania,Oceania,75.293,orange,,10.957,59.019,,
_OECD,OECD members,87.726,yellow,2.94,13.841000000000001,98.968,60.802,
_SIDS,Small Island Developing States,76.45500000000001,orange,,17.556,68.88,,
_Africa,Sub-Saharan Africa,46.7235,red,56.67,47.777,58.829,48.784,
_LIC,Low-income Countries,45.709,red,66.91,44.31,69.52,43.632,
_LMIC,Lower-middle-income Countries,54.953,red,35.97,63.116,61.505,64.846,
_UMIC,Upper-middle-income Countries,78.90825,orange,20.208000000000002,36.384,93.593,71.628,
_HIC,High-income Countries,89.388,yellow,0.002,14.047,99.232,62.871,
